id,task_type,difficulty,source_regulation,context,question,your_answer,notes_if_ambiguous
CON_042,contradiction_detection,easy,,"[PASSAGE A]
Bucket B2: Tier 1 Capital Ratio above 7.5% and up to 9.5% — Dividend allowed: 20% of adjusted PAT.

[PASSAGE B]
Bucket B3: Tier 1 Capital Ratio above 9.5% and up to 11.5% — Dividend allowed: 30% of adjusted PAT.","Under the RBI SFB Dividend Directions 2026, do Bucket B2 and Bucket B3 allow the same maximum dividend as a percentage of Adjusted PAT?",,
CON_043,contradiction_detection,easy,,"[PASSAGE A]
""independent research analyst"" means a person whose only business activity is research analysis or preparation and/or publication of research report.

[PASSAGE B]
""part-time research analyst"" means an individual or a partnership firm who for consideration, is engaged in the business of providing research services and is also engaged in any other business activity or employment.",Do the definitions of 'independent research analyst' and 'part-time research analyst' under SEBI (Research Analysts) Regulations 2014 describe the same type of professional?,,
CON_044,contradiction_detection,medium,,"[PASSAGE A]
Auction Week 2 (April 06-10, 2026): ₹34,000 crore — (i) 10 Year for ₹34,000 crore.

[PASSAGE B]
Auction Week 6 (May 04-08, 2026): ₹34,000 crore — (i) 10 Year for ₹34,000 crore.",Do auction weeks 2 and 6 of the GoI issuance calendar for H1 FY2026-27 have the same structure in terms of total amount and securities offered?,,
CON_045,contradiction_detection,hard,,"[PASSAGE A]
buy-back from the open market through the stock exchange shall not be allowed with effect from April 1, 2025.

[PASSAGE B]
A company may buy-back its shares or other specified securities by any one of the following methods: (a) from the existing shareholders on a proportionate basis through the tender offer; (b) from the open market through book-building process; stock exchange.",Do the two passages together indicate that open-market buy-back through stock exchanges is permitted under SEBI (Buy-Back of Securities) Regulations 2018?,,
TMP_028,temporal_reasoning,easy,,"Section A of the Directions on implementation of Legal Entity Identifier (LEI) shall come into force with immediate effect. Section B of the Directions on implementation of Unique Transaction Identifier (UTI) shall come into effect from January 01, 2027. The Master Direction was issued on March 27, 2026.",Which was implemented first under the RBI Master Direction on Unique Identifiers in Financial Markets 2026 — the LEI framework or the UTI framework?,,
TMP_029,temporal_reasoning,medium,,"List of circulars superseded vide Master Direction - Reserve Bank of India (Unique Identifiers in Financial Markets) Directions, 2026: (1) FMRD.FMID No.14/11.01.007/2016-17 dated June 01, 2017; (2) FMRD.FMID.No.10/11.01.007/2018-19 dated November 29, 2018; (3) FMRD.FMID.No.15/11.01.007/2018-19 dated April 26, 2019; (4) FMRD.FMID.No.24/11.01.007/2019-20 dated March 27, 2020; (5) CO.FMRD.MIOD.No.8/11.01.057/2025-26 dated February 18, 2026.","Among the five circulars superseded by the RBI Master Direction on Unique Identifiers 2026, which was the most recently issued before the Master Direction?",,
TMP_030,temporal_reasoning,medium,,"List of circulars superseded: (1) FMRD.FMID No.14/11.01.007/2016-17 dated June 01, 2017; (2) dated November 29, 2018; (3) dated April 26, 2019; (4) dated March 27, 2020; (5) dated February 18, 2026. The Master Direction was issued March 27, 2026.","How many years elapsed between the issuance of the first LEI circular (June 01, 2017) and its supersession by the Master Direction on Unique Identifiers (March 27, 2026)?",,
TMP_031,temporal_reasoning,medium,,"buy-back from the open market through stock exchanges, based on the standalone or consolidated financial statements of the company, whichever sets out a lower amount, shall be less than: (i) fifteen per cent of the paid up capital and free reserves of the company till March 31, 2023; (ii) ten per cent of the paid up capital and free reserves of the company till March 31, 2024; (iii) five per cent of the paid up capital and free reserves of the company till March 31, 2025. Provided further that buy-back from the open market through the stock exchange shall not be allowed with effect from April 1, 2025.","Describe the step-by-step reduction in the maximum open-market buy-back limit through stock exchanges under SEBI Regulations, from 2023 to the final prohibition.",,
TMP_032,temporal_reasoning,medium,,"Annex III — List of circulars repealed: DOR.ACC.REC.118/21-02-067/2025-26, dated November 28, 2025 — Reserve Bank of India (Small Finance Banks - Prudential Norms on Declaration of Dividends) Directions, 2025.

These Directions shall be called the Reserve Bank of India (Small Finance Banks - Prudential Norms on Declaration of Dividend) Directions, 2026. These Directions shall come into effect from Financial Year (FY) 2026-27.",Which set of RBI directions on Small Finance Bank dividend norms was in effect during FY 2025-26 — the 2025 Directions or the 2026 Directions?,,
TMP_033,temporal_reasoning,medium,,"Government of India (GoI) has announced the sale of two dated securities. GoI specific Notification: F.No.4(1)-B(W&M)/2026 dated March 28, 2026. Auction Date: April 02, 2026 (Thursday). Settlement Date: April 06, 2026 (Monday). When Issued trading period: March 30, 2026 - April 02, 2026.","In chronological order, what are the key dates in the lifecycle of the GoI dated securities auction announced on March 28, 2026?",,
TMP_034,temporal_reasoning,easy,,"Press Release dated March 21, 2026 — Auction of State Government Securities (Revised). The auction will be conducted on the Reserve Bank of India Core Banking Solution (E-Kuber) system on March 24, 2026 (Tuesday). Payment by successful bidders will be made during banking hours on March 25, 2026 (Wednesday).","For the State Government securities auction covered in this revised press release, what is the sequence of key events from the announcement to settlement?",,
TMP_035,temporal_reasoning,medium,,"Where a certificate has been granted to an intermediary on a permanent basis, the certificate may continue to be valid under these regulations subject to the condition that the intermediary shall, within two years of commencement of these regulations in relation to such intermediary, furnish the information in Form A to the Board and upload the information in Part I thereof on the website specified by the Board: Provided that the time specified in clause (b) may be extended by the Board up to a period of six months on sufficient reasons being shown by the intermediary.","Under SEBI (Intermediaries) Regulations 2008, an intermediary holding a permanent certificate at the time of commencement of these regulations must furnish Form A information within two years. What is the maximum total time available if SEBI grants an extension?",,
TMP_036,temporal_reasoning,medium,,"These regulations may be called the Securities and Exchange Board of India (Research Analysts) Regulations, 2014. These regulations shall come into force on the ninetieth day from the date of their publication in the Official Gazette. The regulations were published on September 1, 2014.","The SEBI (Research Analysts) Regulations 2014 were published on September 1, 2014. On approximately which date did they come into force?",,
TMP_037,temporal_reasoning,medium,,"Calendar for Issuance of Government of India Dated Securities (April 01, 2026 to September 30, 2026). Auction Week 4 (April 20-24, 2026): ₹32,000 crore — (i) 3 Year for ₹11,000 crore (ii) 7 Year for ₹11,000 crore (iii) 30 Year for ₹5,000 crore (iv) 30 Year SGrB for ₹5,000 crore. Switch auctions will be conducted on the third Monday of every month.","In the GoI securities issuance calendar for H1 FY2026-27, which is the first auction week that includes Sovereign Green Bonds (SGrBs), and what amount is allocated for them?",,
TMP_038,temporal_reasoning,easy,,"These Directions shall be called the Reserve Bank of India (Small Finance Banks - Prudential Norms on Declaration of Dividend) Directions, 2026. These Directions shall come into effect from Financial Year (FY) 2026-27.

Annex III: Circular repealed — DOR.ACC.REC.118/21-02-067/2025-26 dated November 28, 2025.","The RBI SFB Dividend Directions 2026 were issued on March 10, 2026 but take effect from FY 2026-27. Were the 2025 Directions (repealed circular dated November 28, 2025) issued before or after the 2026 Directions were issued?",,
TMP_039,temporal_reasoning,hard,,"UTI shall be generated / reported for all transactions in OTC derivatives market undertaken in terms of the Governing Directions. The directions shall be applicable to OTC derivative transactions entered into on or after the date the directions come into effect. Section B on UTI shall come into effect from January 01, 2027.","A counterparty entered into an OTC derivative transaction on December 15, 2026. Is this transaction subject to the UTI reporting requirements under the RBI Master Direction on Unique Identifiers 2026?",,
TMP_040,temporal_reasoning,hard,,"Where the certificate was granted for a specified period, an application for grant of certificate under sub-regulation (1) shall be made by the intermediary at least three months prior to the expiry of such period or three months prior to expiry of two years from the commencement of these regulations in relation to such intermediary, whichever is earlier and if the intermediary fails to do so, it shall cease to act as an intermediary on and from the expiry of the aforementioned period.","An intermediary's time-limited certificate expires in 18 months from the commencement of the SEBI (Intermediaries) Regulations 2008. Under this provision, when is the earliest date by which it must apply for renewal?",,
TMP_041,temporal_reasoning,medium,,"The Security Council Committee pursuant to resolutions 1267 (1999), 1989 (2011) and 2253 (2015) concerning ISIL (Da'esh), Al Qaida and associated individuals...removed the entry below from the ISIL (Da'esh) and Al Qaida Sanctions List. The entity Al-Nusrah Front was Listed on: 14 May 2014 (amended on 7 Jun. 2017, 5 Jun. 2018, 15 Nov. 2021). The UNSC press release SC/16306 was dated February 27, 2026.","For how long was the Al-Nusrah Front listed on the ISIL (Da'esh) and Al-Qaida Sanctions List before it was removed per the UNSC press release of February 27, 2026?",,
TMP_042,temporal_reasoning,easy,,"Reserve Bank of India will also be conducting switches of dated securities through auction on the third Monday of every month or at more frequent intervals. In case the third Monday is a holiday, switch auction will be conducted on the fourth Monday of the month.","Under the RBI GoI issuance calendar for H1 FY2026-27, if the third Monday of a month is a public holiday, on which day is the switch auction conducted instead?",,
TMP_043,temporal_reasoning,easy,,"For transactions that are reportable in India and in a foreign jurisdiction and the foreign jurisdiction has a sooner reporting timeline, market participants may undertake reasonable efforts to ensure that the UTI is obtained and reported within the reporting deadline for the transaction. In case the market participant is unable to obtain the UTI within the reporting deadline, the market participant may obtain and submit the UTI to CCIL-TR at the earliest thereafter, but in any case, within five Mumbai business days from the date of the transaction.","Under the RBI Master Direction on UTI 2026, if a market participant cannot obtain the UTI in time for a cross-border transaction, what is the maximum additional time allowed to submit the UTI to CCIL-TR?",,
TMP_044,temporal_reasoning,medium,,"A company shall not make any offer of buy-back within a period of one year reckoned from the date of expiry of buyback period of the preceding offer of buy-back, if any. The buy-back period means the period between the date of board of directors resolution or date of declaration of results of the postal ballot for special resolution, as the case may be, to authorize buyback of shares and the date on which payment of consideration to shareholders who have accepted the buyback offer is made.","A company completed its buy-back (i.e., made the final payment to shareholders) on June 15, 2025. What is the earliest date on which it can launch its next buy-back offer?",,
TMP_045,temporal_reasoning,hard,,"Illustration 3: Net profit (PAT) for FY 20X1-X2 (A): ₹1,500 crore. Interim dividend paid for FY 20X1-20X2 (H): ₹500 crore. Maximum Eligible Dividend (G): ₹1,125 crore. As the bank has already paid interim dividend of ₹500 crore, the final dividend shall not be more than (G) - (H).","In Illustration 3 of the RBI SFB Dividend Directions 2026, the bank paid interim dividend during FY 20X1-X2 before declaring the final dividend. What does this sequencing imply about when the Maximum Eligible Dividend constraint applies — at the time of the interim dividend, or cumulatively across both payments?",,
