item_idx,model,task_type,condition,reference,prediction,is_correct,retrieved_sources
103,Gemini 2.5 Flash,temporal_reasoning,RAG,"The minimum investment threshold for venture capital funds was raised from two-thirds (approximately 66.67%) to seventy-five percent of investable funds by the SEBI (Alternative Investment Funds) (Fourth Amendment) Regulations, 2018, which came into effect on 13 August 2021. Prior to this amendment, the threshold was at least two-thirds of investable funds.","The minimum investment threshold for venture capital funds was raised from two-thirds to seventy-five percent of investable funds with effect from August 13, 2021. This change was implemented by the S",1,"['SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt', 'SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt', 'SEBI_2000_securities_and_exchange_board_of_india_foreign_venture__083.txt']"
104,Gemini 2.5 Flash,temporal_reasoning,RAG,"CO.FMRD.MIOD.No.8/11.01.057/2025-26 dated February 18, 2026, which is the most recent of the five superseded circulars.","The provided text states that the directions were issued through various circulars, as set out in an Annex. However, the Annex containing the list of these circulars is not included in the retrieved c",0,"['RBI_Master Dir_master_direction_-_reserve_bank_of_india_unique_identif_084.txt', 'RBI_RBI releas_rbi_releases_master_direction_on_unique_identifiers_in__037.txt', 'RBI_Master Dir_master_direction_-_reserve_bank_of_india_unique_identif_084.txt']"
105,Gemini 2.5 Flash,temporal_reasoning,RAG,"No. The original Regulation 45 absolutely prohibited the use of scheme funds in option trading, short selling, or carry forward transactions.","Under the original SEBI (Mutual Funds) Regulations, 1996, mutual fund schemes were not permitted to engage in short sale or carry forward transactions. Option trading, as a form of derivative transact",0,"['SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt']"
106,Gemini 2.5 Flash,temporal_reasoning,RAG,On the fourth Monday of that month.,"In case the third Monday of a month is a holiday, the switch auction will be conducted on the fourth Monday of the month.",1,"['RBI_Issuance C_issuance_calendar_for_marketable_dated_securities_for_a_031.txt', 'RBI_Issuance C_issuance_calendar_for_marketable_dated_securities_for_a_031.txt', 'RBI_Auction of_auction_of_government_of_india_dated_securities_028.txt']"
107,Gemini 2.5 Flash,temporal_reasoning,RAG,"The Corporate Debt Market Development Fund was introduced by the Securities and Exchange Board of India (Alternative Investment Funds) (Second Amendment) Regulations, 2023, with effect from 15 June 2023. The CDMDF is defined as an Alternative Investment Fund set up and making investments in accordance with Chapter III-C of the AIF Regulations.","The Corporate Debt Market Development Fund category was introduced by the Securities and Exchange Board of India (Alternative Investment Funds) (Second Amendment) Regulations, 2023, with effect from J",1,"['SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt', 'SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt']"
108,Gemini 2.5 Flash,temporal_reasoning,RAG,"Regulation 2(ee) of the SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018","The provided regulatory text does not contain a definition for the term 'main board' for the purposes of SEBI LODR Regulations 2015, nor does it refer to those specific regulations.",0,"['SEBI_Feb 06, 20_reporting_of_value_of_units_of_alternative_investment_f_017.txt', 'SEBI_1999_securities_and_exchange_board_of_india_collective_inves_084.txt', 'SEBI_Mar 04, 20_guidelines_for_custodians_009.txt']"
109,Gemini 2.5 Flash,temporal_reasoning,RAG,"The SEBI (ICDR) (Amendment) Regulations, 2025, effective from 08.03.2025","Based on the retrieved regulatory text, there is no mention of an amendment to the SEBI ICDR Regulations or any information regarding the broadening of the definition of 'associate' to include entitie",0,"['SEBI_Mar 04, 20_guidelines_for_custodians_009.txt', 'SEBI_1999_securities_and_exchange_board_of_india_collective_inves_084.txt', 'SEBI_2015_securities_and_exchange_board_of_india_listing_obligati_067.txt']"
110,Gemini 2.5 Flash,temporal_reasoning,RAG,At least 50 per cent,At least 50% of the trustees were required to be independent persons.,0,"['SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt']"
111,Gemini 2.5 Flash,temporal_reasoning,RAG,Replaced the enumeration of specific advertising media with a broader definition covering all forms of communication that may influence investment decisions of investors,"The SEBI (Mutual Funds) (Amendment) Regulations, 2012 substituted the definition of 'advertisement'. It changed from a detailed list of various advertising forms to a broader definition encompassing """,1,"['SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt']"
112,Gemini 2.5 Flash,temporal_reasoning,RAG,"The requirement for a minimum promoter shareholding of 26% in a credit rating agency was introduced by the SEBI (Credit Rating Agencies) (Amendment) Regulations, 2018, with effect from 30 May 2018. Prior to this amendment, the SEBI (CRA) Regulations, 1999 did not prescribe any minimum shareholding requirement for promoters. The 2018 amendment inserted Regulation 5(l) (eligibility criterion) and Regulation 9(e) (ongoing condition of certificate) to impose this requirement.","The provided regulatory text does not mention a 26% minimum promoter shareholding requirement for credit rating agencies. It only defines a ""promoter"" as a person who holds ten percent or more of the ",0,"['SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt', 'SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt', 'SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt']"
113,Gemini 2.5 Flash,temporal_reasoning,RAG,"The obligation regarding the use of Artificial Intelligence tools was first introduced by the Securities and Exchange Board of India (Investment Advisers) (Second Amendment) Regulations, 2024, with effect from 16 December 2024 (Regulation 15(14)). It requires that any investment adviser using AI tools for servicing clients — irrespective of the scale or nature of AI adoption — shall be solely responsible for: the security, confidentiality, and integrity of client data; any other information or data used to arrive at investment advice; investment advice based on the output of AI tools; and compliance with all applicable laws.","The regulatory obligation regarding the use of Artificial Intelligence tools by investment advisers was first introduced on December 16, 2024. It requires an investment adviser using AI tools for clie",1,"['SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt', 'SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt', 'SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt']"
114,Gemini 2.5 Flash,temporal_reasoning,RAG,Silver or silver related instruments,"The provided regulatory text states that footnote 209 was ""Inserted by the SEBI (Mutual Funds) (Third Amendment) Regulations, 2021, w.e.f. 08-12-2021."" However, the text does not specify what new asse",0,"['SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt']"
115,Gemini 2.5 Flash,temporal_reasoning,RAG,"25 July 2022, following the Third Amendment Regulations, 2022","This information is not present in the provided regulatory text. The retrieved text discusses regulatory reporting by AIFs and flexibility in winding up schemes, but does not mention social impact fun",0,"['SEBI_Mar 04, 20_regulatory_reporting_by_aifs_008.txt', 'SEBI_Mar 23, 20_key_decisions_taken_in_the_sebi_board_meeting_dated_23r_034.txt', 'SEBI_Feb 06, 20_reporting_of_value_of_units_of_alternative_investment_f_017.txt']"
116,Gemini 2.5 Flash,temporal_reasoning,RAG,"Replaced the limited allowance for unlisted equity (5% for open-ended, 10% for close-ended) with a complete requirement that all equity investments be in listed or to-be-listed securities","Based on the provided text, there is no mention of the SEBI (Mutual Funds) (Second Amendment) Regulations, 2019, nor any reference to the Seventh Schedule or unlisted equity instruments in connection ",0,"['SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt']"
117,Gemini 2.5 Flash,temporal_reasoning,RAG,"Before the substitution by the SEBI (Investment Advisers) (Second Amendment) Regulations, 2024 (w.e.f. 16-12-2024), Regulation 8 required non-individual investment advisers to have a net worth of not less than fifty lakh rupees. Individual investment advisers were required to have net tangible assets of not less than five lakh rupees. The 2024 amendment replaced these specific numerical thresholds with a 'deposit' of such sum as specified by the Board from time to time.","Before its substitution, non-individual investment advisers were required to have a net worth of not less than fifty lakh rupees. Networth was defined as the aggregate value of paid-up share capital p",0,"['SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt', 'SEBI_1996_securities_and_exchange_board_of_india_custodian_regula_086.txt', 'SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt']"
118,Gemini 2.5 Flash,temporal_reasoning,RAG,"The 21-calendar-day deadline for redressing investor grievances was introduced by the Securities and Exchange Board of India (Facilitation of Grievance Redressal Mechanism) (Amendment) Regulations, 2023, with effect from 18 August 2023. Prior to this amendment, Regulation 21(1) of the SEBI (Investment Advisers) Regulations, 2013 only required that an investment adviser 'redress client grievances promptly' — a qualitative standard with no specific numerical time limit.","The 21-calendar-day deadline for redressing investor grievances was introduced on August 18, 2023, by the Securities and Exchange Board of India (Facilitation of Grievance Redressal Mechanism) (Amendm",1,"['SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_2018_securities_and_exchange_board_of_india_depositories_and_062.txt']"
119,Gemini 2.5 Flash,temporal_reasoning,RAG,"Five years from the commencement of the SEBI (AIF) Regulations, 2012","The provided regulatory text does not specify how long funds registered under the earlier SEBI Venture Capital Funds Regulations, 1996 could continue to be governed by those older regulations before b",0,"['SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt', 'SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt', 'SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt']"
